case,target_soc,actual_soc,variant,charge_scale,mode,species,n_molecules,frames,fit_start_ps,fit_end_ps,D_1e-9_m2_s,D_sem_1e-9_m2_s,n_blocks,note,source_file
soc050_q1p0,0.5,0.5,q1p0,1.0,long,Zn2+,24,4001,2510.0,8490.0,0.3048653060525711,0.0199798734841691,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_long.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,long,I-,40,4001,2510.0,8490.0,0.6866568844154257,0.0547771334295046,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_long.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,long,Br-,92,4001,2510.0,8490.0,0.618067839324987,0.0277852016029903,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_long.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,long,NH4+,95,4001,2510.0,8490.0,0.8622077387450693,0.0312326372137894,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_long.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,long,I2,1,4001,2510.0,8490.0,0.5067622519056145,0.2164562506243149,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_long.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,long,I3-,8,4001,2510.0,8490.0,0.4408902986534194,0.0767949597087301,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_long.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,long,I2Br-,3,4001,2510.0,8490.0,0.7992635299287814,0.0620505242631829,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_long.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,long,H2O,1112,4001,2510.0,8490.0,1.3410273815204905,0.0085985138637644,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_long.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,smoke,Zn2+,24,251,0.6400000017867785,2.1000000026638377,0.3343972001195361,0.072109764072685,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_smoke.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,smoke,I-,40,251,0.6400000017867785,2.1000000026638377,1.0327730327314135,0.0407624189621202,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_smoke.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,smoke,Br-,92,251,0.6400000017867785,2.1000000026638377,0.7301828389745285,0.0908639079102768,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_smoke.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,smoke,NH4+,95,251,0.6400000017867785,2.1000000026638377,1.0074512281087986,0.039321578994306,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_smoke.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,smoke,I2,1,251,0.6400000017867785,2.1000000026638377,-0.1255166429902393,0.4691550002632742,4,short smoke trajectory; not production-grade; finite-box carrier count is small; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_smoke.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,smoke,I3-,8,251,0.6400000017867785,2.1000000026638377,0.724905578025153,0.3158645898320799,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_smoke.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,smoke,I2Br-,3,251,0.6400000017867785,2.1000000026638377,0.4674415965022899,0.2222015054156419,4,short smoke trajectory; not production-grade; finite-box carrier count is small; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_smoke.csv
soc050_q1p0,0.5,0.5,q1p0,1.0,smoke,H2O,1112,251,0.6400000017867785,2.1000000026638377,1.533431111647657,0.0398304190837883,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q1p0_smoke.csv
soc070_q0p8_ecc,0.7,0.7083333333333334,q0p8_ecc,0.8,long,Zn2+,24,4001,2510.0,8490.0,0.55142843239266,0.0472394809958421,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q0p8_ecc_long.csv
soc070_q0p8_ecc,0.7,0.7083333333333334,q0p8_ecc,0.8,long,I-,37,4001,2510.0,8490.0,1.0454780110920243,0.0621821644681242,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q0p8_ecc_long.csv
soc070_q0p8_ecc,0.7,0.7083333333333334,q0p8_ecc,0.8,long,Br-,90,4001,2510.0,8490.0,1.07299053869049,0.0129428151548136,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc070_q0p8_ecc_long.csv
