R_theta_end,theta_end,effective_coefficient_V,effective_coefficient_mV_per_decade,fixed_selected_voltage_contribution_mV
0.560445,0.439555,0.12229632569,281.597696462,70.8125282268
0.56191,0.43809,0.122850207143,282.87305564,70.8125282268
0.563375,0.436625,0.123407666577,284.156653422,70.8125282268
0.56484,0.43516,0.123968740682,285.44857429,70.8125282268
0.566305,0.433695,0.124533466638,286.74890386,70.8125282268
0.56777,0.43223,0.125101882131,288.057728899,70.8125282268
0.569235,0.430765,0.12567402535,289.375137347,70.8125282268
0.5707,0.4293,0.126249935005,290.701218335,70.8125282268
0.572165,0.427835,0.126829650333,292.036062207,70.8125282268
0.57363,0.42637,0.127413211105,293.379760542,70.8125282268
0.575095,0.424905,0.128000657638,294.73240617,70.8125282268
0.57656,0.42344,0.128592030802,296.094093203,70.8125282268
0.578025,0.421975,0.129187372033,297.464917046,70.8125282268
0.57949,0.42051,0.129786723339,298.844974429,70.8125282268
0.580955,0.419045,0.130390127314,300.234363426,70.8125282268
0.58242,0.41758,0.130997627144,301.63318348,70.8125282268
0.583885,0.416115,0.131609266622,303.041535424,70.8125282268
0.58535,0.41465,0.132225090156,304.459521512,70.8125282268
0.586815,0.413185,0.132845142778,305.887245436,70.8125282268
0.58828,0.41172,0.13346947016,307.32481236,70.8125282268
0.589745,0.410255,0.134098118623,308.772328939,70.8125282268
0.59121,0.40879,0.134731135147,310.229903353,70.8125282268
0.592675,0.407325,0.135368567387,311.697645326,70.8125282268
0.59414,0.40586,0.136010463681,313.175666162,70.8125282268
0.595605,0.404395,0.136656873063,314.664078771,70.8125282268
0.59707,0.40293,0.13730784528,316.162997693,70.8125282268
0.598535,0.401465,0.1379634308,317.672539138,70.8125282268
0.6,0.4,0.138623680826,319.192821007,70.8125282268
