Q_mAh_cm2,voltage_V,S_direct_avg,eps_s_feedback_avg,eps_s_tcd_native_raw_avg,eps_s_ode_avg,N_i2_ode_avg,R_precip_fraction_per_s_avg,R_diss_fraction_per_s_avg,i0_i2s_phase_A_m2_avg,j_bare_geom_A_m2,j_i2s_geom_A_m2,j_positive_geom_A_m2,cI2_total_avg_mol_m3,cI2_tank_mol_m3
11.4444444444,1.4048668927,0.259482947654,5.00613539005e-18,-2.40918396344e-14,1.89335161245e-11,1,1.88080134558e-14,1.01610966719e-23,0,956.508008394,0,956.508008394,33.3776923591,32.8941209887
11.5555555556,1.40495511497,0.260234619589,5.00613539005e-18,-2.40918396344e-14,1.91287123111e-11,1,1.88270926379e-14,1.01507760759e-23,0,930.395254181,0,930.395254181,33.6954194672,33.2118957263
11.6666666667,1.40504333724,0.260987158819,5.02728733001e-18,-2.40918396344e-14,1.93239084978e-11,1,1.88462326245e-14,1.01831154395e-23,0,905.005218844,0,905.005218844,34.0131465754,33.5296704639
11.7777777778,1.4051315595,0.261740566846,5.02728733001e-18,-2.40918396344e-14,1.95191046845e-11,1,1.88654337066e-14,1.01727273403e-23,0,880.324199997,0,880.324199997,34.3308736835,33.8474452015
11.8888888889,1.40521978177,0.262494845175,5.02728733001e-18,-2.40918396344e-14,1.97143008712e-11,1,1.88846961773e-14,1.01623272412e-23,0,856.338889766,0,856.338889766,34.6486007916,34.1652199391
12,1.40530800404,0.263249995316,5.02728733001e-18,-2.40918396344e-14,1.99094970578e-11,1,1.89040203313e-14,1.01519151213e-23,0,833.036359517,0,833.036359517,34.9663278997,34.4829946767
12.1111111111,1.40539622631,0.26400601878,5.02728733001e-18,-2.40918396344e-14,2.01046932445e-11,1,1.89234064653e-14,1.01414909599e-23,0,810.404045316,0,810.404045316,35.2840550078,34.8007694143
12.2222222222,1.40548444857,0.264762917085,5.02728733001e-18,-2.40918396344e-14,2.02998894312e-11,1,1.89428548779e-14,1.0131054736e-23,0,788.429734086,0,788.429734086,35.6017821159,35.1185441519
12.3333333333,1.40557267084,0.265520691749,5.02728733001e-18,-2.40918396344e-14,2.04950856178e-11,1,1.89623658697e-14,1.0120606429e-23,0,767.101550425,0,767.101550425,35.919509224,35.4363188895
12.4444444444,1.40566089311,0.266279344295,5.02728733001e-18,-2.40918396344e-14,2.06902818045e-11,1,1.89819397432e-14,1.01101460177e-23,0,746.407944035,0,746.407944035,36.2372363321,35.7540936271
12.5555555556,1.40574911538,0.26703887625,5.02728733001e-18,-2.40918396344e-14,2.08854779912e-11,1,1.90015768027e-14,1.00996734812e-23,0,726.337677739,0,726.337677739,36.5549634402,36.0718683647
12.6666666667,1.40583733764,0.267799289144,5.02728733001e-18,-2.40918396344e-14,2.10806741778e-11,1,1.90212773546e-14,1.00891887985e-23,0,706.879816057,0,706.879816057,36.8726905483,36.3896431023
12.7777777778,1.40592555991,0.268560584511,5.02728733001e-18,-2.40918396344e-14,2.12758703645e-11,1,1.90410417074e-14,1.00786919485e-23,0,688.023714292,0,688.023714292,37.1904176564,36.7074178399
12.8888888889,1.40601378218,0.269322763887,5.02728733001e-18,-2.40918396344e-14,2.14710665512e-11,1,1.90608701714e-14,1.00681829101e-23,0,669.759008121,0,669.759008121,37.5081447646,37.0251925776
13,1.40610200445,0.270085828814,5.02728733001e-18,-2.40918396344e-14,2.16662627378e-11,1,1.90807630589e-14,1.00576616621e-23,0,652.075603645,0,652.075603645,37.8258718727,37.3429673152
13.1111111111,1.40619022671,0.270849780835,5.02728733001e-18,-2.40918396344e-14,2.18614589245e-11,1,1.91007206845e-14,1.00471281832e-23,0,634.963667884,0,634.963667884,38.1435989808,37.6607420528
13.2222222222,1.40627844898,0.2716146215,5.02728733001e-18,-2.40918396344e-14,2.20566551112e-11,1,1.91207433645e-14,1.00365824523e-23,0,618.413619697,0,618.413619697,38.4613260889,37.9785167904
13.3333333333,1.40636667125,0.272380352358,5.02728733001e-18,-2.40918396344e-14,2.22518512979e-11,1,1.91408314175e-14,1.00260244479e-23,0,602.416121085,0,602.416121085,38.779053197,38.296291528
13.4444444444,1.40645489351,0.273146974966,5.02728733001e-18,-2.40918396344e-14,2.24470474845e-11,1,1.91609851642e-14,1.00154541487e-23,0,586.962068886,0,586.962068886,39.0967803051,38.6140662656
