"case_id","q_mAh_cm2","S_avg","cI2_surf_tot_avg","beta_surf_avg"
"baseline_J40_Q120","33.6666666667","0.427562099907","199.973648334","1055.0569196"
"baseline_J40_Q120","33.7777777778","0.42850441511","200.286152008","1054.38191166"
"baseline_J40_Q120","33.8888888889","0.429447937737","200.598655681","1053.70690373"
"baseline_J40_Q120","34.0","0.430392670108","200.911159355","1053.03189579"
"baseline_J40_Q120","34.1111111111","0.431338614553","201.223663028","1052.35688786"
"baseline_J40_Q120","34.2222222222","0.432285773405","201.536166702","1051.68187992"
"baseline_J40_Q120","34.3333333333","0.433234149005","201.848670376","1051.00687199"
"baseline_J40_Q120","34.4444444444","0.434183743699","202.161174049","1050.33186405"
"baseline_J40_Q120","34.5555555556","0.435134559839","202.473677723","1049.65685612"
"baseline_J40_Q120","34.6666666667","0.436086599783","202.786181397","1048.98184818"
"baseline_J40_Q120","34.7777777778","0.437039865897","203.09868507","1048.30684025"
"baseline_J40_Q120","34.8888888889","0.437994360549","203.411188744","1047.63183231"
"baseline_J40_Q120","35.0","0.438950086118","203.723692418","1046.95682438"
"baseline_J40_Q120","35.1111111111","0.439907044985","204.036196091","1046.28181644"
"baseline_J40_Q120","35.2222222222","0.440865239539","204.348699765","1045.60680851"
"baseline_J40_Q120","35.3333333333","0.441824672177","204.661203439","1044.93180057"
"baseline_J40_Q120","35.4444444444","0.442785345298","204.973707112","1044.25679264"
"baseline_J40_Q120","35.5555555556","0.44374726131","205.286210786","1043.5817847"
"baseline_J40_Q120","35.6666666667","0.444710422628","205.59871446","1042.90677677"
"baseline_J40_Q120","35.7777777778","0.44567483167","205.911218133","1042.23176883"
"baseline_J40_Q120","35.8888888889","0.446640490864","206.223721807","1041.5567609"
"baseline_J40_Q120","36.0","0.447607402641","206.536225481","1040.88175296"
"baseline_J40_Q120","36.1111111111","0.448575569441","206.848729154","1040.20674503"
"baseline_J40_Q120","36.2222222222","0.449544993709","207.161232828","1039.53173709"
"baseline_J40_Q120","36.3333333333","0.450515677895","207.473736502","1038.85672916"
"baseline_J40_Q120","36.4444444444","0.451487624459","207.786240175","1038.18172122"
"baseline_J40_Q120","36.5555555556","0.452460835865","208.098743849","1037.50671329"
"baseline_J40_Q120","36.6666666667","0.453435314583","208.411247523","1036.83170535"
"baseline_J40_Q120","36.7777777778","0.45441106309","208.723751196","1036.15669742"
"baseline_J40_Q120","36.8888888889","0.45538808387","209.03625487","1035.48168948"
"baseline_J40_Q120","37.0","0.456366379413","209.348758544","1034.80668155"
"baseline_J40_Q120","37.1111111111","0.457345952216","209.661262217","1034.13167361"
"baseline_J40_Q120","37.2222222222","0.458326804782","209.973765891","1033.45666568"
"baseline_J40_Q120","37.3333333333","0.459308939621","210.286269565","1032.78165774"
"baseline_J40_Q120","37.4444444444","0.460292359248","210.598773238","1032.10664981"
"baseline_J40_Q120","37.5555555556","0.461277066187","210.911276912","1031.43164187"
"baseline_J40_Q120","37.6666666667","0.462263062966","211.223780586","1030.75663394"
"baseline_J40_Q120","37.7777777778","0.463250352123","211.536284259","1030.081626"
"baseline_J40_Q120","37.8888888889","0.4642389362","211.848787933","1029.40661806"
"baseline_J40_Q120","38.0","0.465228817746","212.161291607","1028.73161013"
"baseline_J40_Q120","38.1111111111","0.466219999318","212.47379528","1028.05660219"
"baseline_J40_Q120","38.2222222222","0.467212483477","212.786298954","1027.38159426"
